owning_agency_name,reporting_agency_name,submission_period,federal_account_symbol,federal_account_name,agency_identifier_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward_cpe,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total,last_modified_date
Department of Defense,Department of Defense,FY2017Q4,017-1002,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Navy",Department of the Navy,National Defense,Department of Defense-Military,0.0,0.0,123448000.0,0.0,0.0,0.0,0.0,123448000.0,123448000.0,0.0,0.0,123448000.0,123448000.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,017-1003,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,0.0,0.0,71630000.0,0.0,0.0,0.0,0.0,71630000.0,71630000.0,0.0,0.0,71630000.0,71630000.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,017-1105,"Military Personnel, Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,588878609.7,41080498.75,12869509300.0,0.0,0.0,30136406.97,30136406.97,13529604815.42,12958584360.96,210060308.11,571020454.46,12830124170.15,13529604815.42,2018-08-03
Department of Defense,Department of Defense;Department of Transportation,FY2017Q4,017-1106,"Operation and Maintenance, Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,549516540.15,162863830.04,7716859365.0,0.0,0.0,271714365.35,271714365.35,8700954100.54,8255082294.7,420813543.29,445871805.84,7558221423.16,8700954100.54,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,017-1107,"Operation and Maintenance, Marine Corps Reserve",Department of the Navy,National Defense,Department of Defense-Military,34880539.87,13402175.55,274117000.0,0.0,0.0,1566329.07,1566329.07,323966044.49,294858140.95,32671505.44,29107903.54,284150171.99,323966044.49,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,017-1108,"Reserve Personnel, Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,39287505.13,13359723.77,749174000.0,0.0,0.0,6208332.97,6208332.97,808029561.87,773474838.52,21714113.3,34554723.35,744212708.63,808029561.87,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,017-1109,"Procurement, Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,463377262.19,2361658.87,1659375000.0,0.0,0.0,127750593.33,127750593.33,2252864514.39,1619691675.46,70320805.19,633172838.93,1284001387.35,2252864514.39,2018-08-03
Department of Defense,Department of Defense;Department of Transportation,FY2017Q4,017-1205,"Military Construction, Navy and Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,2600174541.78,547162560.1,1464596000.0,0.0,0.0,659241619.33,659241619.33,5271174721.21,2640350814.37,611286360.62,2630823906.84,2025329556.63,5271174721.21,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,017-1206,"Military Construction - Recovery Act, Navy and Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,52771.52,0.0,0.0,0.0,0.0,0.0,0.0,52771.52,0.0,0.0,52771.52,0.0,52771.52,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,017-1235,"Military Construction, Naval Reserve",Department of the Navy,National Defense,Department of Defense-Military,91506125.57,2043035.3,43122000.0,0.0,0.0,0.0,0.0,136671160.87,54961654.15,2363967.22,81709506.72,37980107.46,136671160.87,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,017-1236,"Payments to Kaho'Olawe Island Conveyance, Remediation, and Environmental Restoration Fund, Navy",Department of the Navy,National Defense,Department of Defense-Military,40039.75,0.0,0.0,0.0,0.0,0.0,0.0,40039.75,0.0,0.0,40039.75,0.0,40039.75,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,017-1319,"Research, Development, Test, and Evaluation, Navy",Department of the Navy,National Defense,Department of Defense-Military,2255147480.51,416754445.84,17799320975.0,0.0,0.0,98784739.8,98784739.8,20570007641.15,18156706082.61,550789286.4,2413301558.54,17442246344.48,20570007641.15,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,017-1405,"Reserve Personnel, Navy",Department of the Navy,National Defense,Department of Defense-Military,95050395.84,1026104.5,1939448000.0,0.0,0.0,10696489.86,10696489.86,2046220990.2,1990022887.28,28796221.49,56198102.92,1942823589.84,2046220990.2,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,017-1453,"Military Personnel, Navy",Department of the Navy,National Defense,Department of Defense-Military,991513630.56,160747046.97,28360671965.0,0.0,0.0,348625141.62,348625141.62,29861557784.15,29023898645.5,487751367.84,837659138.65,28465142880.65,29861557784.15,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,017-1506,"Aircraft Procurement, Navy",Department of the Navy,National Defense,Department of Defense-Military,8619495274.38,469465155.54,16739832000.0,0.0,0.0,0.0,0.0,25828792429.92,19398510338.13,880970817.78,6430282091.79,14763455892.16,25828792429.92,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,017-1507,"Weapons Procurement, Navy",Department of the Navy,National Defense,Department of Defense-Military,926413119.78,76516468.63,3409304205.0,0.0,0.0,20444172.26,20444172.26,4432677965.67,2762212597.56,119356258.22,1670465368.11,2808055689.51,4432677965.67,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,017-1508,"Procurement of Ammunition, Navy and Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,279063350.56,65010985.08,755137000.0,0.0,0.0,6740637.78,6740637.78,1105951973.42,841748415.27,34854888.49,264203558.15,901132706.27,1105951973.42,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,017-1611,"Shipbuilding and Conversion, Navy",Department of the Navy,National Defense,Department of Defense-Military,14804422364.38,586565887.73,20082842000.0,0.0,0.0,13278.2,13278.2,35473843530.31,19592461471.54,587116487.44,15881382058.77,14239512431.37,35473843530.31,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,017-1612,"National Sea-Based Deterrence Fund, Navy",Department of the Navy,National Defense,Department of Defense-Military,0.0,0.0,773138000.0,0.0,0.0,0.0,0.0,773138000.0,753184927.0,0.0,19953073.0,307346345.09,773138000.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,017-1804,"Operation and Maintenance, Navy",Department of the Navy,National Defense,Department of Defense-Military,3691643709.81,2079401012.72,47846294972.0,0.0,0.0,4762596967.99,4762596967.99,58379936662.52,54449240341.49,2943416918.99,3930696321.03,50633141730.34,58379936662.52,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,017-1806,"Operation and Maintenance, Navy Reserve",Department of the Navy,National Defense,Department of Defense-Military,145096903.09,8930631.58,950390000.0,0.0,0.0,2861661.12,2861661.12,1107279195.79,988346676.82,75188302.98,118932518.97,895755032.0,1107279195.79,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,017-1810,"Other Procurement, Navy",Department of the Navy,National Defense,Department of Defense-Military,2125687967.07,381681133.64,6513945787.0,0.0,0.0,417511392.34,417511392.34,9438826280.05,7247085285.9,438322197.62,2191740994.15,6905000381.0,9438826280.05,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,017-4557,"National Defense Sealift Fund, Navy",Department of the Navy,National Defense,Department of Defense-Military,90804191.16,51617458.74,510834000.0,0.0,0.0,220815369.35,220815369.35,874071019.25,836358293.8,51617458.74,37712725.45,838300127.15,874071019.25,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,017-5185,"Kaho'Olawe Island Conveyance, Remediation, and Environmental Restoration Fund, Navy",Department of the Navy,National Defense,Department of Defense-Military,9824.06,0.0,0.0,0.0,0.0,0.0,0.0,9824.06,0.0,0.0,9824.06,0.0,9824.06,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,017-5562,Ford Island Improvement Account,Department of the Navy,National Defense,Department of Defense-Military,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,017-8716,"Department of the Navy General Gift Fund, Navy",Department of the Navy,National Defense,Department of Defense-Military,7365220.3,0.0,1371786.76,0.0,0.0,0.0,0.0,8737007.06,2053282.85,0.0,6683724.21,2148035.79,8737007.06,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,017-8723,"Ships' Stores Profits, Navy",Department of the Navy,National Defense,Department of Defense-Military,1734000.83,0.0,10455456.24,0.0,0.0,0.0,0.0,12189457.07,11338477.86,0.0,850979.21,11338477.86,12189457.07,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,017-8733,United States Naval Academy General Gift Fund,Department of the Navy,National Defense,Department of Defense-Military,19691827.29,0.0,26250678.86,0.0,0.0,0.0,0.0,45942506.15,24273784.65,0.0,21668721.5,21480835.3,45942506.15,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-0390,"Chemical Agents and Munitions Destruction, Army",Department of the Army,National Defense,Department of Defense-Military,1672627.99,0.0,0.0,0.0,0.0,0.0,0.0,1672627.99,0.0,0.0,1672627.99,0.0,1672627.99,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-0720,"Family Housing Construction, Army",Department of the Army,National Defense,Department of Defense-Military,141160476.38,-2191965.61,157172000.0,0.0,0.0,0.0,0.0,296140510.77,154440798.09,328505.92,141699712.68,75120843.64,296140510.77,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-0721,"Family Housing Construction - Recovery Act, Army",Department of the Army,National Defense,Department of Defense-Military,1508.3,0.0,0.0,0.0,0.0,0.0,0.0,1508.3,0.0,0.0,1508.3,0.0,1508.3,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-0725,"Family Housing Operation and Maintenance, Army",Department of the Army,National Defense,Department of Defense-Military,169601682.91,2323177.8,325995000.0,0.0,0.0,890988.26,890988.26,498810848.97,341474606.83,37754992.7,157336242.14,338288103.13,498810848.97,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-0810,"Environmental Restoration, Army",Department of the Army,National Defense,Department of Defense-Military,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-1004,"Medicare-Eligible Retiree Health Fund Contribution, Army",Department of the Army,National Defense,Department of Defense-Military,0.0,0.0,1954925000.0,0.0,0.0,0.0,0.0,1954925000.0,1954925000.0,0.0,0.0,1954925000.0,1954925000.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-1005,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Army",Department of the Army,National Defense,Department of Defense-Military,0.0,0.0,376452000.0,0.0,0.0,0.0,0.0,376452000.0,376452000.0,0.0,0.0,376452000.0,376452000.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-1006,"Medicare-Eligible Retiree Health Fund Contribution, National Guard Personnel, Army",Department of the Army,National Defense,Department of Defense-Military,0.0,156.2,654412000.0,0.0,0.0,156.2,156.2,654412312.4,654412312.4,312.4,0.0,654412156.2,654412312.4,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-2010,"Military Personnel, Army",Department of the Army,National Defense,Department of Defense-Military,321929738.24,2566579114.93,41802877900.0,0.0,0.0,290861020.28,290861020.28,44982247773.45,44605659779.05,3181788649.51,376587994.4,41785338279.76,44982247773.45,2018-08-03
Department of Defense,Department of Defense;Department of Transportation,FY2017Q4,021-2020,"Operation and Maintenance, Army",Department of the Army,National Defense,Department of Defense-Military,9983337831.45,2270872573.28,52684141852.0,0.0,0.0,8478307556.4,8478307556.4,73416659813.13,65180628936.94,6216040720.41,8236030876.19,58332216746.11,73416659813.13,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-2031,"Aircraft Procurement, Army",Department of the Army,National Defense,Department of Defense-Military,2431022909.76,497857123.27,5289623243.0,0.0,0.0,135076731.61,135076731.61,8353580007.64,5960803557.4,621979277.66,2392776450.24,5873599759.48,8353580007.64,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-2032,"Missile Procurement, Army",Department of the Army,National Defense,Department of Defense-Military,667490327.5,92610181.8,2891675000.0,0.0,0.0,220098048.2,220098048.2,3871873557.5,2588745543.31,101400576.9,1283128014.19,1299290440.62,3871873557.5,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-2033,"Procurement of Weapons and Tracked Combat Vehicles, Army",Department of the Army,National Defense,Department of Defense-Military,1201720529.9,77276220.34,2828746000.0,0.0,0.0,6378392.92,6378392.92,4114121143.16,2480162207.25,138208155.29,1633958935.91,1997163168.78,4114121143.16,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-2034,"Procurement of Ammunition, Army",Department of the Army,National Defense,Department of Defense-Military,1554998560.08,154827500.41,2256021000.0,0.0,0.0,1576824024.65,1576824024.65,5542671085.14,3745776325.18,156703902.64,1796894759.96,2865247736.18,5542671085.14,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-2035,"Other Procurement, Army",Department of the Army,National Defense,Department of Defense-Military,2997389980.59,673703947.68,7759666780.0,0.0,0.0,15936134.52,15936134.52,11446696842.79,8235431816.87,1062226073.87,3211265025.92,6441562333.41,11446696842.79,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-2040,"Research, Development, Test, and Evaluation, Army",Department of the Army,National Defense,Department of Defense-Military,3499678205.04,422503398.99,8814372331.0,0.0,0.0,4900887252.62,4900887252.62,17637441187.65,13355515089.11,739372728.85,4281926098.54,12361244735.14,17637441187.65,2018-08-03
Department of Defense,Department of Defense;Department of Transportation,FY2017Q4,021-2050,"Military Construction, Army",Department of the Army,National Defense,Department of Defense-Military,4764248542.83,-149667969.06,582757000.0,0.0,0.0,4319835300.46,4319835300.46,9517172874.23,5552531729.97,285988830.46,3964641144.26,5370156558.99,9517172874.23,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-2051,"Military Construction - Recovery Act, Army",Department of the Army,National Defense,Department of Defense-Military,1929.06,11976.38,0.0,0.0,0.0,0.0,0.0,13905.44,0.0,11976.38,13905.44,55798.56,13905.44,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-2060,"National Guard Personnel, Army",Department of the Army,National Defense,Department of Defense-Military,655349623.14,371158835.55,8314242254.0,0.0,0.0,35376184.89,35376184.89,9376126897.58,8894821774.16,673659552.09,481305123.42,8171599324.2,9376126897.58,2018-08-03
Department of Defense,Department of Defense;Department of Transportation,FY2017Q4,021-2065,"Operation and Maintenance, Army National Guard",Department of the Army,National Defense,Department of Defense-Military,615313864.06,307428330.98,7077033242.0,0.0,0.0,102937326.34,102937326.34,8102712763.38,7460672060.26,526970100.12,642040703.12,6660067718.69,8102712763.38,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-2070,"Reserve Personnel, Army",Department of the Army,National Defense,Department of Defense-Military,294779787.25,190855318.33,4557329715.0,0.0,0.0,36100074.31,36100074.31,5079064894.89,4829080712.9,300123543.99,249984181.99,4614805622.04,5079064894.89,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-2080,"Operation and Maintenance, Army Reserve",Department of the Army,National Defense,Department of Defense-Military,289201719.22,133659698.28,2736408000.0,0.0,0.0,6438717.35,6438717.35,3165708134.85,2883465403.99,256240912.09,282242730.86,2773456233.65,3165708134.85,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-2085,"Military Construction, Army National Guard",Department of the Army,National Defense,Department of Defense-Military,412479722.5,14985161.93,312430000.0,0.0,0.0,0.0,0.0,739894884.43,347664575.86,29495248.05,392230308.57,280241554.32,739894884.43,2018-08-03
Department of Defense,Department of Defense;Department of Transportation,FY2017Q4,021-2086,"Military Construction, Army Reserve",Department of the Army,National Defense,Department of Defense-Military,227905605.96,28214141.25,108230000.0,0.0,0.0,0.0,0.0,364349747.21,187706984.44,28214141.25,176642762.77,155922285.19,364349747.21,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-2091,"Afghanistan Security Forces Fund, Army",Department of the Army,National Defense,Department of Defense-Military,2376694186.93,-186155387.48,4112715000.0,0.0,0.0,117028470.0,117028470.0,6420282269.45,4417389796.73,425091281.71,2002892472.72,3686254347.52,6420282269.45,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-2092,"Iraq Security Forces Fund, Army",Department of the Army,National Defense,Department of Defense-Military,34584153.75,-34584153.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8275459.35,0.0,47845.46,0.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-2093,"Joint Improvised Explosive Device Defeat Fund, Army",Department of the Army,National Defense,Department of Defense-Military,135920156.79,83500307.93,87800000.0,0.0,0.0,1178701.06,1178701.06,308399165.78,236006181.63,107866197.72,72392984.15,358611498.68,308399165.78,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-2094,"Military Construction - Recovery Act, Army National Guard",Department of the Army,National Defense,Department of Defense-Military,14817.5,0.0,0.0,0.0,0.0,0.0,0.0,14817.5,0.0,0.0,14817.5,0.0,14817.5,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-2095,"Pakistan Counterinsurgency Fund, Army",Department of the Army,National Defense,Department of Defense-Military,306482000.0,-306482000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-2096,"Afghanistan Infrastructure Fund, Army",Department of the Army,National Defense,Department of Defense-Military,213789045.48,-112769526.25,0.0,0.0,0.0,0.0,0.0,101019519.23,14133618.53,15542142.87,86885900.7,119751626.83,101019519.23,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-2097,"Iraq Train and Equip Fund, Army",Department of the Army,National Defense,Department of Defense-Military,335127217.25,62105291.49,289500000.0,0.0,0.0,0.0,0.0,686732508.74,644096560.31,62105291.49,42635948.43,732002580.61,686732508.74,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-2099,"Counter-ISIS Train and Equip Fund, Army",Department of the Army,National Defense,Department of Defense-Military,0.0,0.0,1438132133.0,0.0,0.0,0.0,0.0,1438132133.0,534630238.13,0.0,903501894.87,238648140.38,1438132133.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-5098,"Restoration, Rocky Mountain Arsenal, Army",Department of the Army,National Defense,Department of Defense-Military,13148893.43,211049.4,295062.32,0.0,0.0,0.0,0.0,13655005.15,1636053.88,211049.4,12018951.27,623472.71,13655005.15,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-5286,"National Science Center, Army",Department of the Army,National Defense,Department of Defense-Military,67482.88,0.0,4366.0,0.0,0.0,0.0,0.0,71848.88,0.0,0.0,71848.88,0.0,71848.88,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-5752,"Department of Defense Korean War Commemoration Fund, Army",Department of the Army,National Defense,Department of Defense-Military,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-8063,"Bequest of Major General Fred C. Ainsworth, Library, Walter Reed General Hospital, Army",Department of the Army,National Defense,Department of Defense-Military,23684.25,0.0,0.0,0.0,0.0,0.0,0.0,23684.25,0.0,0.0,23684.25,0.0,23684.25,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,021-8927,"Department of the Army General Gift Fund, Army",Department of the Army,National Defense,Department of Defense-Military,30449489.08,352451.47,13141622.09,0.0,0.0,0.0,0.0,43943562.64,15821706.82,352451.47,28121855.82,11910002.73,43943562.64,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,057-0740,"Family Housing Construction, Air Force",Department of the Air Force,National Defense,Department of Defense-Military,518683996.03,-30576074.13,61352000.0,0.0,0.0,0.0,0.0,549459921.9,93865686.56,2910088.84,455594235.34,27482949.61,549459921.9,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,057-0743,"Family Housing Construction - Recovery Act, Air Force",Department of the Air Force,National Defense,Department of Defense-Military,49592.97,0.0,0.0,0.0,0.0,0.0,0.0,49592.97,0.0,0.0,49592.97,0.0,49592.97,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,057-0745,"Family Housing Operation and Maintenance, Air Force",Department of the Air Force,National Defense,Department of Defense-Military,243374604.95,8289771.46,274429000.0,0.0,0.0,1524142.16,1524142.16,527617518.57,287734645.96,21927683.07,239882872.61,268463447.27,527617518.57,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,057-0810,"Environmental Restoration, Air Force",Department of the Air Force,National Defense,Department of Defense-Military,0.0,0.0,0.0,0.0,0.0,300000.0,300000.0,300000.0,0.0,0.0,300000.0,0.0,300000.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,057-1007,"Medicare-Eligible Retiree Health Fund Contribution, Air Force",Department of the Air Force,National Defense,Department of Defense-Military,0.0,0.0,1319491000.0,0.0,0.0,0.0,0.0,1319491000.0,1319491000.0,0.0,0.0,1319491000.0,1319491000.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,057-1008,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Air Force",Department of the Air Force,National Defense,Department of Defense-Military,0.0,0.0,125293000.0,0.0,0.0,0.0,0.0,125293000.0,125293000.0,0.0,0.0,125293000.0,125293000.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,057-1009,"Medicare-Eligible Retiree Health Fund Contribution, National Guard Personnel, Air Force",Department of the Air Force,National Defense,Department of Defense-Military,0.0,0.0,216337000.0,0.0,0.0,0.0,0.0,216337000.0,216337000.0,0.0,0.0,216337000.0,216337000.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,057-3010,"Aircraft Procurement, Air Force",Department of the Air Force,National Defense,Department of Defense-Military,13331605802.05,-255230250.33,15560482637.0,0.0,0.0,98782219.98,98782219.98,28735640408.7,18076438604.27,603422114.48,10659201804.43,13033812718.65,28735640408.7,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,057-3011,"Procurement of Ammunition, Air Force",Department of the Air Force,National Defense,Department of Defense-Military,726226901.43,238874464.26,2135147000.0,0.0,0.0,61263454.97,61263454.97,3161511820.66,2122792546.96,132369887.06,1038719273.7,1371456417.06,3161511820.66,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,057-3020,"Missile Procurement, Air Force",Department of the Air Force,National Defense,Department of Defense-Military,2233902852.74,208065940.46,2640416000.0,0.0,0.0,11876594.78,11876594.78,5094261387.98,3365848596.82,377632720.75,1728412791.16,3413741838.84,5094261387.98,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,057-3021,"Space Procurement, Air Force",Department of the Air Force,National Defense,Department of Defense-Military,935327359.03,-35425630.77,2650158000.0,0.0,0.0,1123627.01,1123627.01,3551183355.27,2530230205.22,47920369.23,1020953150.05,1362909920.19,3551183355.27,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,057-3024,"Tanker Replacement Transfer Fund, Air Force",Department of the Air Force,National Defense,Department of Defense-Military,92200.0,0.0,0.0,0.0,0.0,0.0,0.0,92200.0,0.0,0.0,92200.0,0.0,92200.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,057-3080,"Other Procurement, Air Force",Department of the Air Force,National Defense,Department of Defense-Military,3942920463.39,393106677.58,22721677721.0,0.0,0.0,244473553.52,244473553.52,27302178415.49,22387775252.89,876893185.11,4914403162.6,22158888517.14,27302178415.49,2018-08-03
Department of Defense,Department of Defense;Department of Transportation,FY2017Q4,057-3300,"Military Construction, Air Force",Department of the Air Force,National Defense,Department of Defense-Military,1722058826.65,-185851981.54,1770389000.0,0.0,0.0,0.0,0.0,3306595845.11,1065200405.85,21702574.33,2241395439.26,728571860.02,3306595845.11,2018-08-03
